As_class,ts_soc,ts_silt,ts_ph,ts_clay,ts_cec,ss_soc,ss_silt,ss_ph,ss_clay,ss_cec,fluvisols,et0_yr,ai_et0,elevation,slope,precip,temp,distance_to_river,latitude,longitude
0,263,344,56,252,172,48,326,58,344,158,9,1490,14421,79,0.656958818,2149,24.18333308,1393.922926,26.65283095,93.63539004
1,245,310,55,261,185,64,266,56,374,151,10,1460,14347,103,0.656958818,2095,23.95833333,175.5029671,26.57860726,94.1982396
1,255,285,55,310,160,69,262,56,385,134,10,1481,13128,100,0.656958818,1945,24.08333333,312.5144702,26.44542701,94.12598546
1,264,301,55,262,198,86,273,56,350,160,10,1454,14167,119,0.656958818,2061,23.80833356,3139.720753,26.54241787,94.22859779
0,231,342,52,257,179,63,312,53,342,151,11,1489,14303,91,0.656958818,2130,24.13333321,1207.768028,26.6411547,93.64150997
1,251,301,54,276,158,56,271,55,374,138,11,1473,13774,95,0.656958818,2030,24.04999987,1281.960433,26.54360532,94.09781612
0,261,341,56,261,166,45,320,58,340,149,11,1483,15124,85,0.656958818,2243,24.14999978,1197.102813,26.70870966,93.92394856
1,261,325,53,273,182,63,305,55,337,160,12,1466,14791,96,0.656958818,2169,23.95833317,1230.149065,26.65370643,94.06111953
1,261,349,54,267,202,56,285,56,403,158,12,1482,12641,102,0.656958818,1874,24.03333314,2071.39536,26.39153151,94.06056496
1,263,308,55,275,183,54,277,56,358,161,12,1462,14833,97,0.656958818,2169,23.9666667,436.5060902,26.64405859,94.16386161
1,214,302,53,263,195,94,270,54,346,170,13,1458,15452,98,0.656958818,2254,23.92500019,2165.079418,26.70304748,94.19797074
0,230,317,56,277,182,63,301,58,347,164,13,1470,14693,95,0.656958818,2161,23.99999968,1635.169375,26.65789958,93.99234269
0,252,327,54,271,179,62,303,55,359,152,13,1478,13645,104,0.656958818,2018,24.01666641,4285.147342,26.56035451,93.94158239
1,252,313,53,262,189,77,276,53,357,164,13,1462,15404,93,0.656958818,2253,23.92500003,2472.294221,26.70350684,94.14607306
0,236,340,55,279,167,74,324,56,335,140,14,1488,14315,82,0.656958818,2131,24.16666651,2010.545544,26.64677747,93.75105323
1,305,331,54,269,208,62,296,55,348,154,14,1454,14709,105,0.656958818,2139,23.88333352,1472.988486,26.61006455,94.24145695
0,227,344,55,267,156,47,320,56,337,134,15,1484,14924,85,0.656958818,2215,24.15833314,500.9653667,26.70234972,93.82419432
0,229,320,53,268,152,60,306,54,344,131,15,1471,15123,87,0.656958818,2226,24.04999987,1754.550832,26.69733705,93.97461862
0,256,309,55,292,168,41,314,57,335,153,15,1465,16566,84,0.656958818,2427,24.01666657,1078.475301,26.81338069,94.06483331
1,279,339,55,281,154,62,315,56,373,138,15,1480,13239,100,0.656958818,1960,24.0999999,450.3171804,26.51477941,93.95367584
0,251,325,54,272,172,77,297,55,359,152,16,1476,13899,99,0.656958818,2053,24.02499978,3196.689504,26.59075994,93.92527895
0,243,329,56,283,162,58,329,57,328,139,17,1488,14320,84,0.656958818,2131,24.16666651,1015.639744,26.64767101,93.74125397
1,265,351,57,293,170,49,318,58,384,142,17,1492,12032,109,0.656958818,1796,24.11666663,907.0359152,26.29359627,93.99021204
0,231,329,54,270,180,67,304,55,359,152,19,1478,13639,102,0.656958818,2017,24.00833305,4429.729954,26.56012842,93.94402842
0,300,318,54,274,179,71,291,55,363,151,19,1478,13639,106,0.656958818,2017,24.00833305,4308.262398,26.56627502,93.94967511
0,225,326,53,267,163,67,296,53,367,145,20,1480,13700,100,0.656958818,2029,24.02499978,3357.844709,26.57141287,93.91812444
0,231,366,57,253,147,42,336,59,337,135,20,1492,14724,80,0.656958818,2198,24.2249999,1772.364461,26.69610198,93.746728
0,267,323,54,272,181,64,298,55,360,153,21,1478,13639,101,0.656958818,2017,24.00833305,4558.260877,26.56407539,93.94942352
0,299,323,58,311,179,80,318,60,346,153,3,1483,12615,111,0.734494209,1871,24.0666666,2733.614367,26.36197188,94.09171359
1,241,325,56,279,168,97,281,57,395,137,4,1474,12808,129,0.734494209,1888,23.90000025,2313.061727,26.3436966,94.16852379
0,268,355,55,269,167,55,335,56,337,157,4,1483,14299,86,0.734494209,2122,24.01666673,2199.498695,26.62266667,93.55032962
0,274,341,57,285,193,77,297,57,345,165,4,1485,12551,123,0.734494209,1864,24.04166651,2500.753749,26.34719172,94.10728183
1,263,308,57,302,167,61,270,59,408,148,5,1481,12801,119,0.734494209,1896,24.02499978,247.5826118,26.37212412,94.1496067
